id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
43,2010-01-01,4,1,1,1,783.0
133,2010-01-02,5,2,2,0,729.0
223,2010-01-03,6,3,3,0,864.0
313,2010-01-04,0,4,4,0,574.0
403,2010-01-05,1,5,5,0,572.0
493,2010-01-06,2,6,6,1,570.0
583,2010-01-07,3,7,7,0,536.0
673,2010-01-08,4,8,8,0,621.0
763,2010-01-09,5,9,9,0,591.0
853,2010-01-10,6,10,10,0,679.0
943,2010-01-11,0,11,11,0,572.0
1033,2010-01-12,1,12,12,0,523.0
1123,2010-01-13,2,13,13,0,531.0
1213,2010-01-14,3,14,14,0,484.0
1303,2010-01-15,4,15,15,0,550.0
1393,2010-01-16,5,16,16,0,561.0
1483,2010-01-17,6,17,17,0,584.0
1573,2010-01-18,0,18,18,0,499.0
1663,2010-01-19,1,19,19,0,513.0
1753,2010-01-20,2,20,20,0,447.0
1843,2010-01-21,3,21,21,0,493.0
1933,2010-01-22,4,22,22,0,496.0
2023,2010-01-23,5,23,23,0,516.0
2113,2010-01-24,6,24,24,0,584.0
2203,2010-01-25,0,25,25,0,477.0
2293,2010-01-26,1,26,26,0,465.0
2383,2010-01-27,2,27,27,0,482.0
2473,2010-01-28,3,28,28,0,475.0
2563,2010-01-29,4,29,29,0,494.0
2653,2010-01-30,5,30,30,0,569.0
2743,2010-01-31,6,31,31,0,557.0
2833,2010-02-01,0,1,32,0,453.0
2923,2010-02-02,1,2,33,0,405.0
3013,2010-02-03,2,3,34,0,530.0
3103,2010-02-04,3,4,35,0,486.0
3193,2010-02-05,4,5,36,0,440.0
3283,2010-02-06,5,6,37,0,513.0
3373,2010-02-07,6,7,38,0,522.0
3463,2010-02-08,0,8,39,0,433.0
3553,2010-02-09,1,9,40,0,420.0
3643,2010-02-10,2,10,41,0,451.0
3733,2010-02-11,3,11,42,0,451.0
3823,2010-02-12,4,12,43,0,447.0
3913,2010-02-13,5,13,44,0,505.0
4003,2010-02-14,6,14,45,0,527.0
4093,2010-02-15,0,15,46,0,449.0
4183,2010-02-16,1,16,47,0,457.0
4273,2010-02-17,2,17,48,0,448.0
4363,2010-02-18,3,18,49,0,428.0
4453,2010-02-19,4,19,50,0,444.0
4543,2010-02-20,5,20,51,0,490.0
4633,2010-02-21,6,21,52,0,523.0
4723,2010-02-22,0,22,53,0,431.0
4813,2010-02-23,1,23,54,0,446.0
4903,2010-02-24,2,24,55,0,435.0
4993,2010-02-25,3,25,56,0,377.0
5083,2010-02-26,4,26,57,0,429.0
5173,2010-02-27,5,27,58,0,521.0
5263,2010-02-28,6,28,59,0,556.0
5353,2010-03-01,0,1,60,0,450.0
5443,2010-03-02,1,2,61,0,459.0
5533,2010-03-03,2,3,62,0,457.0
5623,2010-03-04,3,4,63,0,454.0
5713,2010-03-05,4,5,64,0,490.0
5803,2010-03-06,5,6,65,0,495.0
5893,2010-03-07,6,7,66,0,523.0
5983,2010-03-08,0,8,67,0,427.0
6073,2010-03-09,1,9,68,0,421.0
6163,2010-03-10,2,10,69,0,444.0
6253,2010-03-11,3,11,70,0,451.0
6343,2010-03-12,4,12,71,0,462.0
6433,2010-03-13,5,13,72,0,487.0
6523,2010-03-14,6,14,73,0,489.0
6613,2010-03-15,0,15,74,0,440.0
6703,2010-03-16,1,16,75,0,418.0
6793,2010-03-17,2,17,76,0,473.0
6883,2010-03-18,3,18,77,0,471.0
6973,2010-03-19,4,19,78,0,474.0
7063,2010-03-20,5,20,79,0,470.0
7153,2010-03-21,6,21,80,0,552.0
7243,2010-03-22,0,22,81,0,422.0
7333,2010-03-23,1,23,82,0,386.0
7423,2010-03-24,2,24,83,0,420.0
7513,2010-03-25,3,25,84,0,429.0
7603,2010-03-26,4,26,85,0,469.0
7693,2010-03-27,5,27,86,0,517.0
7783,2010-03-28,6,28,87,0,509.0
7873,2010-03-29,0,29,88,0,418.0
7963,2010-03-30,1,30,89,0,429.0
8053,2010-03-31,2,31,90,0,433.0
8143,2010-04-01,3,1,91,0,431.0
8233,2010-04-02,4,2,92,0,459.0
8323,2010-04-03,5,3,93,0,456.0
8413,2010-04-04,6,4,94,1,600.0
8503,2010-04-05,0,5,95,1,435.0
8593,2010-04-06,1,6,96,0,405.0
8683,2010-04-07,2,7,97,0,423.0
8773,2010-04-08,3,8,98,0,436.0
8863,2010-04-09,4,9,99,0,449.0
8953,2010-04-10,5,10,100,0,527.0
9043,2010-04-11,6,11,101,0,548.0
9133,2010-04-12,0,12,102,0,495.0
9223,2010-04-13,1,13,103,0,409.0
9313,2010-04-14,2,14,104,0,437.0
9403,2010-04-15,3,15,105,0,445.0
9493,2010-04-16,4,16,106,0,467.0
9583,2010-04-17,5,17,107,0,486.0
9673,2010-04-18,6,18,108,0,545.0
9763,2010-04-19,0,19,109,0,462.0
9853,2010-04-20,1,20,110,0,427.0
9943,2010-04-21,2,21,111,0,433.0
10033,2010-04-22,3,22,112,0,444.0
10123,2010-04-23,4,23,113,0,471.0
10213,2010-04-24,5,24,114,0,474.0
10303,2010-04-25,6,25,115,1,556.0
10393,2010-04-26,0,26,116,0,449.0
10483,2010-04-27,1,27,117,0,414.0
