id,date,country,store,product,num_sold
51,2010-01-01,Kenya,Stickers for Less,Kaggle,40.0
141,2010-01-02,Kenya,Stickers for Less,Kaggle,34.0
231,2010-01-03,Kenya,Stickers for Less,Kaggle,38.0
321,2010-01-04,Kenya,Stickers for Less,Kaggle,30.0
411,2010-01-05,Kenya,Stickers for Less,Kaggle,29.0
501,2010-01-06,Kenya,Stickers for Less,Kaggle,28.0
591,2010-01-07,Kenya,Stickers for Less,Kaggle,26.0
681,2010-01-08,Kenya,Stickers for Less,Kaggle,28.0
771,2010-01-09,Kenya,Stickers for Less,Kaggle,31.0
861,2010-01-10,Kenya,Stickers for Less,Kaggle,29.0
951,2010-01-11,Kenya,Stickers for Less,Kaggle,27.0
1041,2010-01-12,Kenya,Stickers for Less,Kaggle,25.0
1131,2010-01-13,Kenya,Stickers for Less,Kaggle,25.0
1221,2010-01-14,Kenya,Stickers for Less,Kaggle,26.0
1311,2010-01-15,Kenya,Stickers for Less,Kaggle,27.0
1401,2010-01-16,Kenya,Stickers for Less,Kaggle,27.0
1491,2010-01-17,Kenya,Stickers for Less,Kaggle,30.0
1581,2010-01-18,Kenya,Stickers for Less,Kaggle,25.0
1671,2010-01-19,Kenya,Stickers for Less,Kaggle,24.0
1761,2010-01-20,Kenya,Stickers for Less,Kaggle,23.0
1851,2010-01-21,Kenya,Stickers for Less,Kaggle,25.0
1941,2010-01-22,Kenya,Stickers for Less,Kaggle,27.0
2031,2010-01-23,Kenya,Stickers for Less,Kaggle,28.0
2121,2010-01-24,Kenya,Stickers for Less,Kaggle,31.0
2211,2010-01-25,Kenya,Stickers for Less,Kaggle,25.0
2301,2010-01-26,Kenya,Stickers for Less,Kaggle,25.0
2391,2010-01-27,Kenya,Stickers for Less,Kaggle,24.0
2481,2010-01-28,Kenya,Stickers for Less,Kaggle,24.0
2571,2010-01-29,Kenya,Stickers for Less,Kaggle,26.0
2661,2010-01-30,Kenya,Stickers for Less,Kaggle,26.0
2751,2010-01-31,Kenya,Stickers for Less,Kaggle,28.0
2841,2010-02-01,Kenya,Stickers for Less,Kaggle,23.0
2931,2010-02-02,Kenya,Stickers for Less,Kaggle,24.0
3021,2010-02-03,Kenya,Stickers for Less,Kaggle,25.0
3111,2010-02-04,Kenya,Stickers for Less,Kaggle,26.0
3201,2010-02-05,Kenya,Stickers for Less,Kaggle,25.0
3291,2010-02-06,Kenya,Stickers for Less,Kaggle,28.0
3381,2010-02-07,Kenya,Stickers for Less,Kaggle,30.0
3471,2010-02-08,Kenya,Stickers for Less,Kaggle,24.0
3561,2010-02-09,Kenya,Stickers for Less,Kaggle,24.0
3651,2010-02-10,Kenya,Stickers for Less,Kaggle,25.0
3741,2010-02-11,Kenya,Stickers for Less,Kaggle,24.0
3831,2010-02-12,Kenya,Stickers for Less,Kaggle,24.0
3921,2010-02-13,Kenya,Stickers for Less,Kaggle,27.0
4011,2010-02-14,Kenya,Stickers for Less,Kaggle,32.0
4101,2010-02-15,Kenya,Stickers for Less,Kaggle,23.0
4191,2010-02-16,Kenya,Stickers for Less,Kaggle,26.0
4281,2010-02-17,Kenya,Stickers for Less,Kaggle,23.0
4371,2010-02-18,Kenya,Stickers for Less,Kaggle,24.0
4461,2010-02-19,Kenya,Stickers for Less,Kaggle,25.0
4551,2010-02-20,Kenya,Stickers for Less,Kaggle,26.0
4641,2010-02-21,Kenya,Stickers for Less,Kaggle,30.0
4731,2010-02-22,Kenya,Stickers for Less,Kaggle,21.0
4821,2010-02-23,Kenya,Stickers for Less,Kaggle,24.0
4911,2010-02-24,Kenya,Stickers for Less,Kaggle,23.0
5001,2010-02-25,Kenya,Stickers for Less,Kaggle,24.0
5091,2010-02-26,Kenya,Stickers for Less,Kaggle,26.0
5181,2010-02-27,Kenya,Stickers for Less,Kaggle,27.0
5271,2010-02-28,Kenya,Stickers for Less,Kaggle,32.0
5361,2010-03-01,Kenya,Stickers for Less,Kaggle,24.0
5451,2010-03-02,Kenya,Stickers for Less,Kaggle,22.0
5541,2010-03-03,Kenya,Stickers for Less,Kaggle,22.0
5631,2010-03-04,Kenya,Stickers for Less,Kaggle,24.0
5721,2010-03-05,Kenya,Stickers for Less,Kaggle,27.0
5811,2010-03-06,Kenya,Stickers for Less,Kaggle,27.0
5901,2010-03-07,Kenya,Stickers for Less,Kaggle,30.0
5991,2010-03-08,Kenya,Stickers for Less,Kaggle,25.0
6081,2010-03-09,Kenya,Stickers for Less,Kaggle,24.0
6171,2010-03-10,Kenya,Stickers for Less,Kaggle,26.0
6261,2010-03-11,Kenya,Stickers for Less,Kaggle,23.0
6351,2010-03-12,Kenya,Stickers for Less,Kaggle,24.0
6441,2010-03-13,Kenya,Stickers for Less,Kaggle,27.0
6531,2010-03-14,Kenya,Stickers for Less,Kaggle,30.0
6621,2010-03-15,Kenya,Stickers for Less,Kaggle,24.0
6711,2010-03-16,Kenya,Stickers for Less,Kaggle,26.0
6801,2010-03-17,Kenya,Stickers for Less,Kaggle,23.0
6891,2010-03-18,Kenya,Stickers for Less,Kaggle,25.0
6981,2010-03-19,Kenya,Stickers for Less,Kaggle,25.0
7071,2010-03-20,Kenya,Stickers for Less,Kaggle,29.0
7161,2010-03-21,Kenya,Stickers for Less,Kaggle,29.0
7251,2010-03-22,Kenya,Stickers for Less,Kaggle,22.0
7341,2010-03-23,Kenya,Stickers for Less,Kaggle,25.0
7431,2010-03-24,Kenya,Stickers for Less,Kaggle,24.0
7521,2010-03-25,Kenya,Stickers for Less,Kaggle,22.0
7611,2010-03-26,Kenya,Stickers for Less,Kaggle,28.0
7701,2010-03-27,Kenya,Stickers for Less,Kaggle,27.0
7791,2010-03-28,Kenya,Stickers for Less,Kaggle,31.0
7881,2010-03-29,Kenya,Stickers for Less,Kaggle,25.0
7971,2010-03-30,Kenya,Stickers for Less,Kaggle,23.0
8061,2010-03-31,Kenya,Stickers for Less,Kaggle,21.0
8151,2010-04-01,Kenya,Stickers for Less,Kaggle,24.0
8241,2010-04-02,Kenya,Stickers for Less,Kaggle,25.0
8331,2010-04-03,Kenya,Stickers for Less,Kaggle,27.0
8421,2010-04-04,Kenya,Stickers for Less,Kaggle,31.0
8511,2010-04-05,Kenya,Stickers for Less,Kaggle,26.0
8601,2010-04-06,Kenya,Stickers for Less,Kaggle,25.0
8691,2010-04-07,Kenya,Stickers for Less,Kaggle,26.0
8781,2010-04-08,Kenya,Stickers for Less,Kaggle,29.0
8871,2010-04-09,Kenya,Stickers for Less,Kaggle,27.0
8961,2010-04-10,Kenya,Stickers for Less,Kaggle,32.0
9051,2010-04-11,Kenya,Stickers for Less,Kaggle,28.0
9141,2010-04-12,Kenya,Stickers for Less,Kaggle,25.0
9231,2010-04-13,Kenya,Stickers for Less,Kaggle,26.0
9321,2010-04-14,Kenya,Stickers for Less,Kaggle,22.0
9411,2010-04-15,Kenya,Stickers for Less,Kaggle,24.0
9501,2010-04-16,Kenya,Stickers for Less,Kaggle,25.0
9591,2010-04-17,Kenya,Stickers for Less,Kaggle,27.0
9681,2010-04-18,Kenya,Stickers for Less,Kaggle,32.0
9771,2010-04-19,Kenya,Stickers for Less,Kaggle,25.0
9861,2010-04-20,Kenya,Stickers for Less,Kaggle,24.0
9951,2010-04-21,Kenya,Stickers for Less,Kaggle,23.0
10041,2010-04-22,Kenya,Stickers for Less,Kaggle,24.0
10131,2010-04-23,Kenya,Stickers for Less,Kaggle,27.0
10221,2010-04-24,Kenya,Stickers for Less,Kaggle,25.0
10311,2010-04-25,Kenya,Stickers for Less,Kaggle,31.0
10401,2010-04-26,Kenya,Stickers for Less,Kaggle,26.0
10491,2010-04-27,Kenya,Stickers for Less,Kaggle,25.0
10581,2010-04-28,Kenya,Stickers for Less,Kaggle,26.0
10671,2010-04-29,Kenya,Stickers for Less,Kaggle,21.0
10761,2010-04-30,Kenya,Stickers for Less,Kaggle,27.0
10851,2010-05-01,Kenya,Stickers for Less,Kaggle,28.0
10941,2010-05-02,Kenya,Stickers for Less,Kaggle,32.0
