id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
18,2010-01-01,4,1,1,1,424.0
108,2010-01-02,5,2,2,0,417.0
198,2010-01-03,6,3,3,0,469.0
288,2010-01-04,0,4,4,0,356.0
378,2010-01-05,1,5,5,0,299.0
468,2010-01-06,2,6,6,1,329.0
558,2010-01-07,3,7,7,0,292.0
648,2010-01-08,4,8,8,0,346.0
738,2010-01-09,5,9,9,0,320.0
828,2010-01-10,6,10,10,0,352.0
918,2010-01-11,0,11,11,0,287.0
1008,2010-01-12,1,12,12,0,280.0
1098,2010-01-13,2,13,13,0,278.0
1188,2010-01-14,3,14,14,0,294.0
1278,2010-01-15,4,15,15,0,282.0
1368,2010-01-16,5,16,16,0,283.0
1458,2010-01-17,6,17,17,0,329.0
1548,2010-01-18,0,18,18,0,254.0
1638,2010-01-19,1,19,19,0,258.0
1728,2010-01-20,2,20,20,0,255.0
1818,2010-01-21,3,21,21,0,256.0
1908,2010-01-22,4,22,22,0,278.0
1998,2010-01-23,5,23,23,0,302.0
2088,2010-01-24,6,24,24,0,347.0
2178,2010-01-25,0,25,25,0,259.0
2268,2010-01-26,1,26,26,0,242.0
2358,2010-01-27,2,27,27,0,249.0
2448,2010-01-28,3,28,28,0,265.0
2538,2010-01-29,4,29,29,0,280.0
2628,2010-01-30,5,30,30,0,296.0
2718,2010-01-31,6,31,31,0,316.0
2808,2010-02-01,0,1,32,0,245.0
2898,2010-02-02,1,2,33,0,253.0
2988,2010-02-03,2,3,34,0,260.0
3078,2010-02-04,3,4,35,0,236.0
3168,2010-02-05,4,5,36,0,256.0
3258,2010-02-06,5,6,37,0,261.0
3348,2010-02-07,6,7,38,0,314.0
3438,2010-02-08,0,8,39,0,259.0
3528,2010-02-09,1,9,40,0,268.0
3618,2010-02-10,2,10,41,0,241.0
3708,2010-02-11,3,11,42,0,242.0
3798,2010-02-12,4,12,43,0,246.0
3888,2010-02-13,5,13,44,0,269.0
3978,2010-02-14,6,14,45,0,297.0
4068,2010-02-15,0,15,46,0,252.0
4158,2010-02-16,1,16,47,0,226.0
4248,2010-02-17,2,17,48,0,232.0
4338,2010-02-18,3,18,49,0,250.0
4428,2010-02-19,4,19,50,0,255.0
4518,2010-02-20,5,20,51,0,258.0
4608,2010-02-21,6,21,52,0,260.0
4698,2010-02-22,0,22,53,0,251.0
4788,2010-02-23,1,23,54,0,211.0
4878,2010-02-24,2,24,55,0,212.0
4968,2010-02-25,3,25,56,0,239.0
5058,2010-02-26,4,26,57,0,244.0
5148,2010-02-27,5,27,58,0,269.0
5238,2010-02-28,6,28,59,0,265.0
5328,2010-03-01,0,1,60,0,241.0
5418,2010-03-02,1,2,61,0,248.0
5508,2010-03-03,2,3,62,0,248.0
5598,2010-03-04,3,4,63,0,234.0
5688,2010-03-05,4,5,64,0,262.0
5778,2010-03-06,5,6,65,0,249.0
5868,2010-03-07,6,7,66,0,292.0
5958,2010-03-08,0,8,67,0,234.0
6048,2010-03-09,1,9,68,0,213.0
6138,2010-03-10,2,10,69,0,231.0
6228,2010-03-11,3,11,70,0,214.0
6318,2010-03-12,4,12,71,0,229.0
6408,2010-03-13,5,13,72,0,264.0
6498,2010-03-14,6,14,73,0,281.0
6588,2010-03-15,0,15,74,0,225.0
6678,2010-03-16,1,16,75,0,212.0
6768,2010-03-17,2,17,76,0,232.0
6858,2010-03-18,3,18,77,0,246.0
6948,2010-03-19,4,19,78,0,253.0
7038,2010-03-20,5,20,79,0,259.0
7128,2010-03-21,6,21,80,0,299.0
7218,2010-03-22,0,22,81,0,221.0
7308,2010-03-23,1,23,82,0,245.0
7398,2010-03-24,2,24,83,0,237.0
7488,2010-03-25,3,25,84,0,260.0
7578,2010-03-26,4,26,85,0,215.0
7668,2010-03-27,5,27,86,0,259.0
7758,2010-03-28,6,28,87,0,285.0
7848,2010-03-29,0,29,88,0,217.0
7938,2010-03-30,1,30,89,0,209.0
8028,2010-03-31,2,31,90,0,239.0
8118,2010-04-01,3,1,91,0,235.0
8208,2010-04-02,4,2,92,1,226.0
8298,2010-04-03,5,3,93,0,287.0
8388,2010-04-04,6,4,94,1,292.0
8478,2010-04-05,0,5,95,1,235.0
8568,2010-04-06,1,6,96,0,264.0
8658,2010-04-07,2,7,97,0,283.0
8748,2010-04-08,3,8,98,0,273.0
8838,2010-04-09,4,9,99,0,285.0
8928,2010-04-10,5,10,100,0,299.0
9018,2010-04-11,6,11,101,0,312.0
9108,2010-04-12,0,12,102,0,244.0
9198,2010-04-13,1,13,103,0,242.0
9288,2010-04-14,2,14,104,0,246.0
9378,2010-04-15,3,15,105,0,243.0
9468,2010-04-16,4,16,106,0,229.0
9558,2010-04-17,5,17,107,0,262.0
9648,2010-04-18,6,18,108,0,293.0
9738,2010-04-19,0,19,109,0,243.0
9828,2010-04-20,1,20,110,0,258.0
9918,2010-04-21,2,21,111,0,234.0
10008,2010-04-22,3,22,112,0,234.0
10098,2010-04-23,4,23,113,0,244.0
10188,2010-04-24,5,24,114,0,267.0
10278,2010-04-25,6,25,115,0,284.0
10368,2010-04-26,0,26,116,0,256.0
10458,2010-04-27,1,27,117,0,238.0
10548,2010-04-28,2,28,118,0,216.0
10638,2010-04-29,3,29,119,0,224.0
10728,2010-04-30,4,30,120,0,244.0
10818,2010-05-01,5,1,121,1,270.0
10908,2010-05-02,6,2,122,0,310.0
