id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
69,2010-01-01,4,1,1,1,1672.0
159,2010-01-02,5,2,2,0,1907.0
249,2010-01-03,6,3,3,0,1879.0
339,2010-01-04,0,4,4,0,1532.0
429,2010-01-05,1,5,5,0,1488.0
519,2010-01-06,2,6,6,0,1414.0
609,2010-01-07,3,7,7,0,1430.0
699,2010-01-08,4,8,8,0,1304.0
789,2010-01-09,5,9,9,0,1478.0
879,2010-01-10,6,10,10,0,1572.0
969,2010-01-11,0,11,11,0,1305.0
1059,2010-01-12,1,12,12,0,1264.0
1149,2010-01-13,2,13,13,0,1315.0
1239,2010-01-14,3,14,14,0,1320.0
1329,2010-01-15,4,15,15,0,1300.0
1419,2010-01-16,5,16,16,0,1480.0
1509,2010-01-17,6,17,17,0,1545.0
1599,2010-01-18,0,18,18,0,1235.0
1689,2010-01-19,1,19,19,0,1312.0
1779,2010-01-20,2,20,20,0,1283.0
1869,2010-01-21,3,21,21,0,1292.0
1959,2010-01-22,4,22,22,0,1322.0
2049,2010-01-23,5,23,23,0,1469.0
2139,2010-01-24,6,24,24,0,1527.0
2229,2010-01-25,0,25,25,0,1304.0
2319,2010-01-26,1,26,26,0,1359.0
2409,2010-01-27,2,27,27,0,1318.0
2499,2010-01-28,3,28,28,0,1256.0
2589,2010-01-29,4,29,29,0,1370.0
2679,2010-01-30,5,30,30,0,1496.0
2769,2010-01-31,6,31,31,0,1684.0
2859,2010-02-01,0,1,32,0,1513.0
2949,2010-02-02,1,2,33,0,1315.0
3039,2010-02-03,2,3,34,0,1360.0
3129,2010-02-04,3,4,35,0,1373.0
3219,2010-02-05,4,5,36,0,1431.0
3309,2010-02-06,5,6,37,0,1585.0
3399,2010-02-07,6,7,38,0,1642.0
3489,2010-02-08,0,8,39,0,1225.0
3579,2010-02-09,1,9,40,0,1451.0
3669,2010-02-10,2,10,41,0,1427.0
3759,2010-02-11,3,11,42,0,1371.0
3849,2010-02-12,4,12,43,0,1547.0
3939,2010-02-13,5,13,44,0,1467.0
4029,2010-02-14,6,14,45,0,1915.0
4119,2010-02-15,0,15,46,0,1349.0
4209,2010-02-16,1,16,47,0,1493.0
4299,2010-02-17,2,17,48,0,1466.0
