id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
61,2010-01-01,4,1,1,1,1692.0
151,2010-01-02,5,2,2,0,1634.0
241,2010-01-03,6,3,3,0,1753.0
331,2010-01-04,0,4,4,0,1216.0
421,2010-01-05,1,5,5,0,1348.0
511,2010-01-06,2,6,6,0,1131.0
601,2010-01-07,3,7,7,0,1172.0
691,2010-01-08,4,8,8,0,1275.0
781,2010-01-09,5,9,9,0,1415.0
871,2010-01-10,6,10,10,0,1404.0
961,2010-01-11,0,11,11,0,1115.0
1051,2010-01-12,1,12,12,0,1140.0
1141,2010-01-13,2,13,13,0,1241.0
1231,2010-01-14,3,14,14,0,1102.0
1321,2010-01-15,4,15,15,0,1247.0
1411,2010-01-16,5,16,16,0,1143.0
1501,2010-01-17,6,17,17,0,1420.0
1591,2010-01-18,0,18,18,0,1116.0
1681,2010-01-19,1,19,19,0,1256.0
1771,2010-01-20,2,20,20,0,1117.0
1861,2010-01-21,3,21,21,0,1209.0
1951,2010-01-22,4,22,22,0,1141.0
2041,2010-01-23,5,23,23,0,1288.0
2131,2010-01-24,6,24,24,0,1288.0
2221,2010-01-25,0,25,25,0,1142.0
2311,2010-01-26,1,26,26,0,1108.0
2401,2010-01-27,2,27,27,0,1019.0
2491,2010-01-28,3,28,28,0,1147.0
2581,2010-01-29,4,29,29,0,1205.0
2671,2010-01-30,5,30,30,0,1320.0
2761,2010-01-31,6,31,31,0,1492.0
2851,2010-02-01,0,1,32,0,1085.0
2941,2010-02-02,1,2,33,0,1132.0
3031,2010-02-03,2,3,34,0,1122.0
3121,2010-02-04,3,4,35,0,1189.0
3211,2010-02-05,4,5,36,0,1132.0
3301,2010-02-06,5,6,37,0,1259.0
3391,2010-02-07,6,7,38,0,1291.0
3481,2010-02-08,0,8,39,0,1079.0
3571,2010-02-09,1,9,40,0,1085.0
3661,2010-02-10,2,10,41,0,1146.0
3751,2010-02-11,3,11,42,0,1081.0
3841,2010-02-12,4,12,43,0,1065.0
3931,2010-02-13,5,13,44,0,1225.0
4021,2010-02-14,6,14,45,0,1264.0
4111,2010-02-15,0,15,46,0,1127.0
4201,2010-02-16,1,16,47,0,1093.0
4291,2010-02-17,2,17,48,0,1153.0
4381,2010-02-18,3,18,49,0,1180.0
4471,2010-02-19,4,19,50,0,1245.0
4561,2010-02-20,5,20,51,0,1188.0
4651,2010-02-21,6,21,52,0,1346.0
4741,2010-02-22,0,22,53,0,1109.0
4831,2010-02-23,1,23,54,0,1063.0
4921,2010-02-24,2,24,55,0,1062.0
5011,2010-02-25,3,25,56,0,1147.0
5101,2010-02-26,4,26,57,0,1200.0
5191,2010-02-27,5,27,58,0,1188.0
5281,2010-02-28,6,28,59,0,1282.0
5371,2010-03-01,0,1,60,0,1249.0
5461,2010-03-02,1,2,61,0,1124.0
5551,2010-03-03,2,3,62,0,1115.0
5641,2010-03-04,3,4,63,0,1178.0
5731,2010-03-05,4,5,64,0,1112.0
5821,2010-03-06,5,6,65,0,1199.0
5911,2010-03-07,6,7,66,0,1397.0
6001,2010-03-08,0,8,67,0,1035.0
6091,2010-03-09,1,9,68,0,1154.0
6181,2010-03-10,2,10,69,0,1154.0
6271,2010-03-11,3,11,70,0,1099.0
6361,2010-03-12,4,12,71,0,1191.0
6451,2010-03-13,5,13,72,0,1220.0
6541,2010-03-14,6,14,73,0,1397.0
6631,2010-03-15,0,15,74,0,1227.0
6721,2010-03-16,1,16,75,0,1084.0
6811,2010-03-17,2,17,76,0,1209.0
6901,2010-03-18,3,18,77,0,1161.0
6991,2010-03-19,4,19,78,0,1024.0
7081,2010-03-20,5,20,79,0,1248.0
7171,2010-03-21,6,21,80,0,1320.0
7261,2010-03-22,0,22,81,0,1054.0
7351,2010-03-23,1,23,82,0,1087.0
7441,2010-03-24,2,24,83,0,1081.0
7531,2010-03-25,3,25,84,0,1134.0
7621,2010-03-26,4,26,85,0,1162.0
7711,2010-03-27,5,27,86,0,1271.0
7801,2010-03-28,6,28,87,0,1399.0
7891,2010-03-29,0,29,88,0,1095.0
7981,2010-03-30,1,30,89,0,1143.0
8071,2010-03-31,2,31,90,0,1040.0
8161,2010-04-01,3,1,91,1,1214.0
8251,2010-04-02,4,2,92,1,1342.0
8341,2010-04-03,5,3,93,0,1419.0
8431,2010-04-04,6,4,94,1,1568.0
8521,2010-04-05,0,5,95,1,1276.0
8611,2010-04-06,1,6,96,0,1259.0
8701,2010-04-07,2,7,97,0,1327.0
8791,2010-04-08,3,8,98,0,1453.0
8881,2010-04-09,4,9,99,0,1483.0
8971,2010-04-10,5,10,100,0,1361.0
9061,2010-04-11,6,11,101,0,1698.0
9151,2010-04-12,0,12,102,0,1196.0
9241,2010-04-13,1,13,103,0,1076.0
9331,2010-04-14,2,14,104,0,1097.0
9421,2010-04-15,3,15,105,0,1073.0
9511,2010-04-16,4,16,106,0,1223.0
9601,2010-04-17,5,17,107,0,1276.0
9691,2010-04-18,6,18,108,0,1275.0
9781,2010-04-19,0,19,109,0,1045.0
9871,2010-04-20,1,20,110,0,1060.0
9961,2010-04-21,2,21,111,0,1249.0
10051,2010-04-22,3,22,112,0,1146.0
10141,2010-04-23,4,23,113,0,1123.0
10231,2010-04-24,5,24,114,0,1410.0
10321,2010-04-25,6,25,115,0,1401.0
10411,2010-04-26,0,26,116,0,1085.0
10501,2010-04-27,1,27,117,0,1158.0
10591,2010-04-28,2,28,118,0,1147.0
10681,2010-04-29,3,29,119,0,1162.0
10771,2010-04-30,4,30,120,0,1156.0
10861,2010-05-01,5,1,121,1,1253.0
10951,2010-05-02,6,2,122,0,1368.0
