id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
63,2010-01-01,4,1,1,1,791.0
153,2010-01-02,5,2,2,0,799.0
243,2010-01-03,6,3,3,0,830.0
333,2010-01-04,0,4,4,0,550.0
423,2010-01-05,1,5,5,0,574.0
513,2010-01-06,2,6,6,0,563.0
603,2010-01-07,3,7,7,0,571.0
693,2010-01-08,4,8,8,0,550.0
783,2010-01-09,5,9,9,0,547.0
873,2010-01-10,6,10,10,0,600.0
963,2010-01-11,0,11,11,0,487.0
1053,2010-01-12,1,12,12,0,490.0
1143,2010-01-13,2,13,13,0,477.0
1233,2010-01-14,3,14,14,0,470.0
1323,2010-01-15,4,15,15,0,512.0
1413,2010-01-16,5,16,16,0,590.0
1503,2010-01-17,6,17,17,0,590.0
1593,2010-01-18,0,18,18,0,488.0
1683,2010-01-19,1,19,19,0,492.0
1773,2010-01-20,2,20,20,0,466.0
1863,2010-01-21,3,21,21,0,453.0
1953,2010-01-22,4,22,22,0,500.0
2043,2010-01-23,5,23,23,0,551.0
2133,2010-01-24,6,24,24,0,656.0
2223,2010-01-25,0,25,25,0,462.0
2313,2010-01-26,1,26,26,0,476.0
2403,2010-01-27,2,27,27,0,473.0
2493,2010-01-28,3,28,28,0,483.0
2583,2010-01-29,4,29,29,0,500.0
2673,2010-01-30,5,30,30,0,481.0
2763,2010-01-31,6,31,31,0,576.0
2853,2010-02-01,0,1,32,0,493.0
2943,2010-02-02,1,2,33,0,479.0
3033,2010-02-03,2,3,34,0,424.0
3123,2010-02-04,3,4,35,0,433.0
3213,2010-02-05,4,5,36,0,480.0
3303,2010-02-06,5,6,37,0,533.0
3393,2010-02-07,6,7,38,0,593.0
3483,2010-02-08,0,8,39,0,446.0
3573,2010-02-09,1,9,40,0,435.0
3663,2010-02-10,2,10,41,0,474.0
3753,2010-02-11,3,11,42,0,453.0
3843,2010-02-12,4,12,43,0,487.0
3933,2010-02-13,5,13,44,0,478.0
4023,2010-02-14,6,14,45,0,584.0
4113,2010-02-15,0,15,46,0,437.0
4203,2010-02-16,1,16,47,0,430.0
4293,2010-02-17,2,17,48,0,476.0
4383,2010-02-18,3,18,49,0,446.0
4473,2010-02-19,4,19,50,0,445.0
4563,2010-02-20,5,20,51,0,541.0
4653,2010-02-21,6,21,52,0,555.0
4743,2010-02-22,0,22,53,0,489.0
4833,2010-02-23,1,23,54,0,434.0
4923,2010-02-24,2,24,55,0,395.0
5013,2010-02-25,3,25,56,0,425.0
5103,2010-02-26,4,26,57,0,479.0
5193,2010-02-27,5,27,58,0,460.0
5283,2010-02-28,6,28,59,0,570.0
5373,2010-03-01,0,1,60,0,444.0
