id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
68,2010-01-01,4,1,1,1,1606.0
158,2010-01-02,5,2,2,0,1537.0
248,2010-01-03,6,3,3,0,1571.0
338,2010-01-04,0,4,4,0,1246.0
428,2010-01-05,1,5,5,0,1246.0
518,2010-01-06,2,6,6,0,1199.0
608,2010-01-07,3,7,7,0,1189.0
698,2010-01-08,4,8,8,0,1037.0
788,2010-01-09,5,9,9,0,1170.0
878,2010-01-10,6,10,10,0,1307.0
968,2010-01-11,0,11,11,0,1011.0
1058,2010-01-12,1,12,12,0,955.0
1148,2010-01-13,2,13,13,0,940.0
1238,2010-01-14,3,14,14,0,1011.0
1328,2010-01-15,4,15,15,0,1139.0
1418,2010-01-16,5,16,16,0,1110.0
1508,2010-01-17,6,17,17,0,1102.0
1598,2010-01-18,0,18,18,0,914.0
1688,2010-01-19,1,19,19,0,957.0
1778,2010-01-20,2,20,20,0,950.0
1868,2010-01-21,3,21,21,0,908.0
1958,2010-01-22,4,22,22,0,990.0
2048,2010-01-23,5,23,23,0,1106.0
2138,2010-01-24,6,24,24,0,1235.0
2228,2010-01-25,0,25,25,0,940.0
2318,2010-01-26,1,26,26,0,979.0
2408,2010-01-27,2,27,27,0,974.0
2498,2010-01-28,3,28,28,0,986.0
2588,2010-01-29,4,29,29,0,1113.0
2678,2010-01-30,5,30,30,0,1176.0
2768,2010-01-31,6,31,31,0,1121.0
2858,2010-02-01,0,1,32,0,915.0
2948,2010-02-02,1,2,33,0,1026.0
3038,2010-02-03,2,3,34,0,945.0
3128,2010-02-04,3,4,35,0,938.0
3218,2010-02-05,4,5,36,0,1049.0
3308,2010-02-06,5,6,37,0,937.0
3398,2010-02-07,6,7,38,0,1145.0
3488,2010-02-08,0,8,39,0,894.0
3578,2010-02-09,1,9,40,0,957.0
3668,2010-02-10,2,10,41,0,923.0
3758,2010-02-11,3,11,42,0,1032.0
3848,2010-02-12,4,12,43,0,983.0
3938,2010-02-13,5,13,44,0,985.0
4028,2010-02-14,6,14,45,0,1230.0
4118,2010-02-15,0,15,46,0,888.0
4208,2010-02-16,1,16,47,0,825.0
4298,2010-02-17,2,17,48,0,876.0
4388,2010-02-18,3,18,49,0,925.0
4478,2010-02-19,4,19,50,0,926.0
4568,2010-02-20,5,20,51,0,972.0
4658,2010-02-21,6,21,52,0,1113.0
4748,2010-02-22,0,22,53,0,956.0
4838,2010-02-23,1,23,54,0,878.0
4928,2010-02-24,2,24,55,0,889.0
5018,2010-02-25,3,25,56,0,946.0
5108,2010-02-26,4,26,57,0,937.0
5198,2010-02-27,5,27,58,0,969.0
5288,2010-02-28,6,28,59,0,1145.0
5378,2010-03-01,0,1,60,0,888.0
5468,2010-03-02,1,2,61,0,771.0
5558,2010-03-03,2,3,62,0,895.0
5648,2010-03-04,3,4,63,0,957.0
5738,2010-03-05,4,5,64,0,1040.0
5828,2010-03-06,5,6,65,0,904.0
5918,2010-03-07,6,7,66,0,1051.0
6008,2010-03-08,0,8,67,0,880.0
6098,2010-03-09,1,9,68,0,881.0
6188,2010-03-10,2,10,69,0,887.0
6278,2010-03-11,3,11,70,0,814.0
6368,2010-03-12,4,12,71,0,874.0
6458,2010-03-13,5,13,72,0,987.0
6548,2010-03-14,6,14,73,0,1098.0
6638,2010-03-15,0,15,74,0,840.0
6728,2010-03-16,1,16,75,0,817.0
6818,2010-03-17,2,17,76,0,842.0
6908,2010-03-18,3,18,77,0,880.0
6998,2010-03-19,4,19,78,0,945.0
7088,2010-03-20,5,20,79,0,931.0
7178,2010-03-21,6,21,80,0,1099.0
7268,2010-03-22,0,22,81,0,887.0
7358,2010-03-23,1,23,82,0,927.0
7448,2010-03-24,2,24,83,0,893.0
7538,2010-03-25,3,25,84,0,887.0
7628,2010-03-26,4,26,85,0,961.0
7718,2010-03-27,5,27,86,0,993.0
7808,2010-03-28,6,28,87,0,1075.0
7898,2010-03-29,0,29,88,0,886.0
7988,2010-03-30,1,30,89,0,874.0
8078,2010-03-31,2,31,90,0,901.0
8168,2010-04-01,3,1,91,1,919.0
8258,2010-04-02,4,2,92,1,995.0
