id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
76,2010-01-01,4,1,1,1,939.0
166,2010-01-02,5,2,2,0,857.0
256,2010-01-03,6,3,3,0,979.0
346,2010-01-04,0,4,4,0,766.0
436,2010-01-05,1,5,5,0,772.0
526,2010-01-06,2,6,6,0,709.0
616,2010-01-07,3,7,7,0,706.0
706,2010-01-08,4,8,8,0,600.0
796,2010-01-09,5,9,9,0,693.0
886,2010-01-10,6,10,10,0,832.0
976,2010-01-11,0,11,11,0,627.0
1066,2010-01-12,1,12,12,0,610.0
1156,2010-01-13,2,13,13,0,582.0
1246,2010-01-14,3,14,14,0,665.0
1336,2010-01-15,4,15,15,0,659.0
1426,2010-01-16,5,16,16,0,710.0
1516,2010-01-17,6,17,17,0,726.0
1606,2010-01-18,0,18,18,0,676.0
1696,2010-01-19,1,19,19,0,646.0
1786,2010-01-20,2,20,20,0,633.0
1876,2010-01-21,3,21,21,0,568.0
1966,2010-01-22,4,22,22,0,616.0
2056,2010-01-23,5,23,23,0,699.0
2146,2010-01-24,6,24,24,0,805.0
2236,2010-01-25,0,25,25,0,619.0
2326,2010-01-26,1,26,26,0,618.0
2416,2010-01-27,2,27,27,0,577.0
2506,2010-01-28,3,28,28,0,611.0
2596,2010-01-29,4,29,29,0,651.0
2686,2010-01-30,5,30,30,0,645.0
2776,2010-01-31,6,31,31,0,698.0
2866,2010-02-01,0,1,32,0,578.0
2956,2010-02-02,1,2,33,0,562.0
3046,2010-02-03,2,3,34,0,598.0
3136,2010-02-04,3,4,35,0,589.0
3226,2010-02-05,4,5,36,0,626.0
3316,2010-02-06,5,6,37,0,656.0
3406,2010-02-07,6,7,38,0,782.0
3496,2010-02-08,0,8,39,0,635.0
3586,2010-02-09,1,9,40,0,563.0
3676,2010-02-10,2,10,41,0,624.0
3766,2010-02-11,3,11,42,0,586.0
3856,2010-02-12,4,12,43,0,628.0
3946,2010-02-13,5,13,44,0,640.0
4036,2010-02-14,6,14,45,1,758.0
4126,2010-02-15,0,15,46,1,606.0
4216,2010-02-16,1,16,47,1,636.0
4306,2010-02-17,2,17,48,0,680.0
4396,2010-02-18,3,18,49,0,715.0
4486,2010-02-19,4,19,50,0,770.0
4576,2010-02-20,5,20,51,0,717.0
4666,2010-02-21,6,21,52,0,919.0
4756,2010-02-22,0,22,53,0,715.0
4846,2010-02-23,1,23,54,0,608.0
4936,2010-02-24,2,24,55,0,580.0
5026,2010-02-25,3,25,56,0,633.0
5116,2010-02-26,4,26,57,0,596.0
5206,2010-02-27,5,27,58,0,646.0
5296,2010-02-28,6,28,59,0,722.0
5386,2010-03-01,0,1,60,0,597.0
5476,2010-03-02,1,2,61,0,688.0
5566,2010-03-03,2,3,62,0,624.0
5656,2010-03-04,3,4,63,0,622.0
5746,2010-03-05,4,5,64,0,633.0
5836,2010-03-06,5,6,65,0,638.0
