id,date,country,store,product,num_sold
87,2010-01-01,Singapore,Premium Sticker Mart,Kaggle Tiers,1992.0
177,2010-01-02,Singapore,Premium Sticker Mart,Kaggle Tiers,1938.0
267,2010-01-03,Singapore,Premium Sticker Mart,Kaggle Tiers,2315.0
357,2010-01-04,Singapore,Premium Sticker Mart,Kaggle Tiers,1656.0
447,2010-01-05,Singapore,Premium Sticker Mart,Kaggle Tiers,1410.0
537,2010-01-06,Singapore,Premium Sticker Mart,Kaggle Tiers,1553.0
627,2010-01-07,Singapore,Premium Sticker Mart,Kaggle Tiers,1408.0
717,2010-01-08,Singapore,Premium Sticker Mart,Kaggle Tiers,1520.0
807,2010-01-09,Singapore,Premium Sticker Mart,Kaggle Tiers,1455.0
897,2010-01-10,Singapore,Premium Sticker Mart,Kaggle Tiers,1753.0
987,2010-01-11,Singapore,Premium Sticker Mart,Kaggle Tiers,1246.0
1077,2010-01-12,Singapore,Premium Sticker Mart,Kaggle Tiers,1483.0
1167,2010-01-13,Singapore,Premium Sticker Mart,Kaggle Tiers,1193.0
1257,2010-01-14,Singapore,Premium Sticker Mart,Kaggle Tiers,1324.0
1347,2010-01-15,Singapore,Premium Sticker Mart,Kaggle Tiers,1495.0
1437,2010-01-16,Singapore,Premium Sticker Mart,Kaggle Tiers,1483.0
1527,2010-01-17,Singapore,Premium Sticker Mart,Kaggle Tiers,1638.0
1617,2010-01-18,Singapore,Premium Sticker Mart,Kaggle Tiers,1399.0
1707,2010-01-19,Singapore,Premium Sticker Mart,Kaggle Tiers,1416.0
1797,2010-01-20,Singapore,Premium Sticker Mart,Kaggle Tiers,1290.0
1887,2010-01-21,Singapore,Premium Sticker Mart,Kaggle Tiers,1220.0
1977,2010-01-22,Singapore,Premium Sticker Mart,Kaggle Tiers,1430.0
2067,2010-01-23,Singapore,Premium Sticker Mart,Kaggle Tiers,1495.0
2157,2010-01-24,Singapore,Premium Sticker Mart,Kaggle Tiers,1565.0
2247,2010-01-25,Singapore,Premium Sticker Mart,Kaggle Tiers,1217.0
2337,2010-01-26,Singapore,Premium Sticker Mart,Kaggle Tiers,1354.0
2427,2010-01-27,Singapore,Premium Sticker Mart,Kaggle Tiers,1445.0
2517,2010-01-28,Singapore,Premium Sticker Mart,Kaggle Tiers,1286.0
2607,2010-01-29,Singapore,Premium Sticker Mart,Kaggle Tiers,1357.0
2697,2010-01-30,Singapore,Premium Sticker Mart,Kaggle Tiers,1483.0
2787,2010-01-31,Singapore,Premium Sticker Mart,Kaggle Tiers,1537.0
2877,2010-02-01,Singapore,Premium Sticker Mart,Kaggle Tiers,1398.0
2967,2010-02-02,Singapore,Premium Sticker Mart,Kaggle Tiers,1237.0
3057,2010-02-03,Singapore,Premium Sticker Mart,Kaggle Tiers,1312.0
3147,2010-02-04,Singapore,Premium Sticker Mart,Kaggle Tiers,1354.0
3237,2010-02-05,Singapore,Premium Sticker Mart,Kaggle Tiers,1484.0
3327,2010-02-06,Singapore,Premium Sticker Mart,Kaggle Tiers,1467.0
3417,2010-02-07,Singapore,Premium Sticker Mart,Kaggle Tiers,1527.0
3507,2010-02-08,Singapore,Premium Sticker Mart,Kaggle Tiers,1245.0
3597,2010-02-09,Singapore,Premium Sticker Mart,Kaggle Tiers,1269.0
3687,2010-02-10,Singapore,Premium Sticker Mart,Kaggle Tiers,1307.0
3777,2010-02-11,Singapore,Premium Sticker Mart,Kaggle Tiers,1199.0
3867,2010-02-12,Singapore,Premium Sticker Mart,Kaggle Tiers,1361.0
3957,2010-02-13,Singapore,Premium Sticker Mart,Kaggle Tiers,1351.0
4047,2010-02-14,Singapore,Premium Sticker Mart,Kaggle Tiers,1648.0
4137,2010-02-15,Singapore,Premium Sticker Mart,Kaggle Tiers,1313.0
4227,2010-02-16,Singapore,Premium Sticker Mart,Kaggle Tiers,1503.0
4317,2010-02-17,Singapore,Premium Sticker Mart,Kaggle Tiers,1364.0
4407,2010-02-18,Singapore,Premium Sticker Mart,Kaggle Tiers,1534.0
4497,2010-02-19,Singapore,Premium Sticker Mart,Kaggle Tiers,1504.0
4587,2010-02-20,Singapore,Premium Sticker Mart,Kaggle Tiers,1727.0
4677,2010-02-21,Singapore,Premium Sticker Mart,Kaggle Tiers,2035.0
4767,2010-02-22,Singapore,Premium Sticker Mart,Kaggle Tiers,1472.0
4857,2010-02-23,Singapore,Premium Sticker Mart,Kaggle Tiers,1465.0
4947,2010-02-24,Singapore,Premium Sticker Mart,Kaggle Tiers,1353.0
5037,2010-02-25,Singapore,Premium Sticker Mart,Kaggle Tiers,1351.0
5127,2010-02-26,Singapore,Premium Sticker Mart,Kaggle Tiers,1397.0
5217,2010-02-27,Singapore,Premium Sticker Mart,Kaggle Tiers,1521.0
5307,2010-02-28,Singapore,Premium Sticker Mart,Kaggle Tiers,1532.0
5397,2010-03-01,Singapore,Premium Sticker Mart,Kaggle Tiers,1339.0
5487,2010-03-02,Singapore,Premium Sticker Mart,Kaggle Tiers,1295.0
5577,2010-03-03,Singapore,Premium Sticker Mart,Kaggle Tiers,1338.0
5667,2010-03-04,Singapore,Premium Sticker Mart,Kaggle Tiers,1334.0
5757,2010-03-05,Singapore,Premium Sticker Mart,Kaggle Tiers,1428.0
5847,2010-03-06,Singapore,Premium Sticker Mart,Kaggle Tiers,1433.0
5937,2010-03-07,Singapore,Premium Sticker Mart,Kaggle Tiers,1743.0
6027,2010-03-08,Singapore,Premium Sticker Mart,Kaggle Tiers,1333.0
6117,2010-03-09,Singapore,Premium Sticker Mart,Kaggle Tiers,1186.0
6207,2010-03-10,Singapore,Premium Sticker Mart,Kaggle Tiers,1324.0
6297,2010-03-11,Singapore,Premium Sticker Mart,Kaggle Tiers,1353.0
6387,2010-03-12,Singapore,Premium Sticker Mart,Kaggle Tiers,1315.0
6477,2010-03-13,Singapore,Premium Sticker Mart,Kaggle Tiers,1361.0
6567,2010-03-14,Singapore,Premium Sticker Mart,Kaggle Tiers,1676.0
6657,2010-03-15,Singapore,Premium Sticker Mart,Kaggle Tiers,1287.0
6747,2010-03-16,Singapore,Premium Sticker Mart,Kaggle Tiers,1285.0
6837,2010-03-17,Singapore,Premium Sticker Mart,Kaggle Tiers,1210.0
6927,2010-03-18,Singapore,Premium Sticker Mart,Kaggle Tiers,1204.0
7017,2010-03-19,Singapore,Premium Sticker Mart,Kaggle Tiers,1427.0
7107,2010-03-20,Singapore,Premium Sticker Mart,Kaggle Tiers,1561.0
7197,2010-03-21,Singapore,Premium Sticker Mart,Kaggle Tiers,1546.0
7287,2010-03-22,Singapore,Premium Sticker Mart,Kaggle Tiers,1315.0
7377,2010-03-23,Singapore,Premium Sticker Mart,Kaggle Tiers,1310.0
7467,2010-03-24,Singapore,Premium Sticker Mart,Kaggle Tiers,1277.0
7557,2010-03-25,Singapore,Premium Sticker Mart,Kaggle Tiers,1271.0
7647,2010-03-26,Singapore,Premium Sticker Mart,Kaggle Tiers,1330.0
7737,2010-03-27,Singapore,Premium Sticker Mart,Kaggle Tiers,1409.0
7827,2010-03-28,Singapore,Premium Sticker Mart,Kaggle Tiers,1569.0
7917,2010-03-29,Singapore,Premium Sticker Mart,Kaggle Tiers,1333.0
8007,2010-03-30,Singapore,Premium Sticker Mart,Kaggle Tiers,1344.0
8097,2010-03-31,Singapore,Premium Sticker Mart,Kaggle Tiers,1188.0
8187,2010-04-01,Singapore,Premium Sticker Mart,Kaggle Tiers,1287.0
8277,2010-04-02,Singapore,Premium Sticker Mart,Kaggle Tiers,1426.0
8367,2010-04-03,Singapore,Premium Sticker Mart,Kaggle Tiers,1316.0
8457,2010-04-04,Singapore,Premium Sticker Mart,Kaggle Tiers,1592.0
