id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
17,2010-01-01,4,1,1,1,774.0
107,2010-01-02,5,2,2,0,764.0
197,2010-01-03,6,3,3,0,815.0
287,2010-01-04,0,4,4,0,664.0
377,2010-01-05,1,5,5,0,608.0
467,2010-01-06,2,6,6,1,592.0
557,2010-01-07,3,7,7,0,571.0
647,2010-01-08,4,8,8,0,629.0
737,2010-01-09,5,9,9,0,648.0
827,2010-01-10,6,10,10,0,779.0
917,2010-01-11,0,11,11,0,587.0
1007,2010-01-12,1,12,12,0,537.0
1097,2010-01-13,2,13,13,0,544.0
1187,2010-01-14,3,14,14,0,507.0
1277,2010-01-15,4,15,15,0,588.0
1367,2010-01-16,5,16,16,0,610.0
1457,2010-01-17,6,17,17,0,659.0
1547,2010-01-18,0,18,18,0,526.0
1637,2010-01-19,1,19,19,0,556.0
1727,2010-01-20,2,20,20,0,522.0
1817,2010-01-21,3,21,21,0,508.0
1907,2010-01-22,4,22,22,0,553.0
1997,2010-01-23,5,23,23,0,586.0
2087,2010-01-24,6,24,24,0,589.0
2177,2010-01-25,0,25,25,0,531.0
2267,2010-01-26,1,26,26,0,525.0
2357,2010-01-27,2,27,27,0,575.0
2447,2010-01-28,3,28,28,0,555.0
2537,2010-01-29,4,29,29,0,511.0
2627,2010-01-30,5,30,30,0,625.0
2717,2010-01-31,6,31,31,0,660.0
2807,2010-02-01,0,1,32,0,529.0
2897,2010-02-02,1,2,33,0,556.0
2987,2010-02-03,2,3,34,0,507.0
3077,2010-02-04,3,4,35,0,542.0
3167,2010-02-05,4,5,36,0,558.0
3257,2010-02-06,5,6,37,0,658.0
3347,2010-02-07,6,7,38,0,603.0
3437,2010-02-08,0,8,39,0,518.0
3527,2010-02-09,1,9,40,0,525.0
3617,2010-02-10,2,10,41,0,537.0
3707,2010-02-11,3,11,42,0,505.0
3797,2010-02-12,4,12,43,0,500.0
3887,2010-02-13,5,13,44,0,575.0
3977,2010-02-14,6,14,45,0,649.0
4067,2010-02-15,0,15,46,0,516.0
4157,2010-02-16,1,16,47,0,539.0
4247,2010-02-17,2,17,48,0,509.0
4337,2010-02-18,3,18,49,0,585.0
4427,2010-02-19,4,19,50,0,560.0
4517,2010-02-20,5,20,51,0,619.0
4607,2010-02-21,6,21,52,0,629.0
4697,2010-02-22,0,22,53,0,560.0
4787,2010-02-23,1,23,54,0,498.0
4877,2010-02-24,2,24,55,0,510.0
4967,2010-02-25,3,25,56,0,503.0
5057,2010-02-26,4,26,57,0,596.0
5147,2010-02-27,5,27,58,0,639.0
5237,2010-02-28,6,28,59,0,656.0
5327,2010-03-01,0,1,60,0,503.0
