id,date,country,store,product,num_sold,year
49,2010-01-01,Kenya,Discount Stickers,Kerneler Dark Mode,9.0,2010
139,2010-01-02,Kenya,Discount Stickers,Kerneler Dark Mode,9.0,2010
229,2010-01-03,Kenya,Discount Stickers,Kerneler Dark Mode,10.0,2010
319,2010-01-04,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
409,2010-01-05,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
499,2010-01-06,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
589,2010-01-07,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
679,2010-01-08,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
769,2010-01-09,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
859,2010-01-10,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
949,2010-01-11,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
1039,2010-01-12,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
1129,2010-01-13,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
1219,2010-01-14,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
1309,2010-01-15,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
1399,2010-01-16,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
1489,2010-01-17,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
1579,2010-01-18,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
1669,2010-01-19,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
1759,2010-01-20,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
1849,2010-01-21,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
1939,2010-01-22,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
2029,2010-01-23,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
2119,2010-01-24,Kenya,Discount Stickers,Kerneler Dark Mode,9.0,2010
2209,2010-01-25,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
2299,2010-01-26,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
2389,2010-01-27,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
2479,2010-01-28,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
2569,2010-01-29,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
2659,2010-01-30,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
2749,2010-01-31,Kenya,Discount Stickers,Kerneler Dark Mode,9.0,2010
2839,2010-02-01,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
2929,2010-02-02,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3019,2010-02-03,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
3109,2010-02-04,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3199,2010-02-05,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3289,2010-02-06,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3379,2010-02-07,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
3469,2010-02-08,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3559,2010-02-09,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3649,2010-02-10,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3739,2010-02-11,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
3829,2010-02-12,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
3919,2010-02-13,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
4009,2010-02-14,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
4099,2010-02-15,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
4189,2010-02-16,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
4279,2010-02-17,Kenya,Discount Stickers,Kerneler Dark Mode,6.0,2010
4369,2010-02-18,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
4459,2010-02-19,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
4549,2010-02-20,Kenya,Discount Stickers,Kerneler Dark Mode,8.0,2010
4639,2010-02-21,Kenya,Discount Stickers,Kerneler Dark Mode,9.0,2010
4729,2010-02-22,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
4819,2010-02-23,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
4909,2010-02-24,Kenya,Discount Stickers,Kerneler Dark Mode,7.0,2010
